-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p3	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p4	p40	p41	p42	p43	p44	p45	p5	p6	p7	p8	p9
20130305WXXT069			+		+				+			+		+		+	+		+	+			+		+		+			+	+	+				+								
20130305WXXT022			+						+	+		+		+		+	+	+	+	+							+			+			+			+	+				+			+
20130305WXXT021	+								+			+		+		+	+	+	+	+							+						+				+				+			+
20130305WXXT020			+		+				+	+				+		+	+	+	+	+							+				+		+				+				+			+
20130305WXXT018	+		+				+							+		+	+	+									+		+		+							+						+
20130305WXXT016										+								+									+		+		+										+			+
20130305WXXT015				+	+						+			+				+					+				+			+						+								
20130225WXXT013			+						+	+		+							+												+	+					+							
20130108WXXT012		+												+		+	+	+	+	+							+						+			+	+				+			+
20130108WXXT011										+				+				+	+	+	+						+														+			
20130108WXXT010			+	+	+				+	+				+		+	+	+					+		+		+			+	+	+			+	+								
20121229NXTT095		+												+				+	+	+						+	+		+		+		+				+				+	+	+	+
20121229NXTT093										+	+			+				+	+	+							+			+			+				+				+	+		+
20121229NXTT091										+				+		+		+	+	+						+	+		+		+		+				+				+	+	+	+
20121229NXTT089			+									+		+		+	+	+	+	+							+						+				+				+	+		+
20121223NXTT142										+	+			+		+	+	+	+	+							+						+				+				+			+
20121223NXTT139										+				+		+	+	+	+	+							+						+								+	+		+
20121223NXTT137										+		+						+	+	+							+						+				+	+			+	+		+
20121223NXTT109										+				+		+	+	+								+	+		+	+	+		+				+				+	+	+	+
20121223NXTT108		+												+		+	+	+	+							+	+		+	+	+		+				+				+	+	+	+
20121223NXTT107		+	+											+			+	+	+	+						+	+		+		+		+				+				+	+	+	+
20121223NXTT105														+				+		+						+	+		+				+				+				+		+	+
20121223NXTT100																		+								+	+		+		+		+				+				+	+	+	+
20121220NXTT074		+								+		+		+				+	+	+							+						+				+				+	+		+
20121220NXTT072		+								+				+				+		+							+						+				+				+	+		+
20121220NXTT069			+							+				+				+									+						+				+				+	+		+
20121220NXTT067										+				+				+		+							+						+				+	+			+	+		+
20121220NXTT017										+	+							+		+						+	+		+		+		+				+				+	+	+	+
20121220NXTT008														+		+	+	+	+	+							+						+				+				+			+
20131118LJT051					+					+				+			+	+	+	+							+						+				+	+			+	+		+
20131122LJT055			+				+			+	+	+		+		+	+	+	+	+					+		+			+	+	+												
20131122LJT056			+							+				+	+	+	+	+	+	+						+	+			+	+		+			+	+				+			+
LLLST077										+				+		+	+	+	+	+							+			+			+				+				+	+		+
LLLST080										+				+		+	+	+	+	+							+					+	+				+				+	+		+
LLLST106										+				+		+	+	+	+	+							+						+				+				+			+
20121223NXTT138										+				+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130417LHLT257										+				+				+	+	+							+						+				+	+			+	+		+
20130726ZYLT008										+						+	+		+	+							+			+			+				+				+	+		+
20130825CFT027										+				+			+	+	+	+						+	+		+	+	+		+			+	+				+	+	+	+
20130902ZYLT032	+									+				+		+	+	+	+	+							+						+				+				+	+		+
20130914ZYLT047										+		+		+		+	+	+	+	+							+						+				+				+			+
20130915ZYLT051										+		+		+				+	+	+							+			+			+				+	+			+	+		+
20131005ZYLT070										+				+		+	+	+	+	+							+						+			+	+				+			+
20131011LJT023			+	+	+					+				+		+	+	+	+	+			+				+			+	+	+	+			+						+		
20121223NXTT132										+		+		+			+	+	+	+						+	+		+		+		+				+	+			+	+	+	+
20121223NXTT134										+				+					+	+							+						+				+	+			+	+		+
20130726ZYLT011										+				+		+	+	+	+								+						+				+				+	+		+
20130726ZYLT012														+				+	+	+						+	+		+		+		+				+				+	+	+	+
20130726ZYLT021										+				+			+	+	+	+							+						+				+				+	+		+
20130807CFT015														+		+	+	+	+							+	+		+		+		+				+				+	+	+	+
20130902ZYLT031														+				+	+							+	+		+		+		+				+				+	+	+	+
20130903ZNT024			+						+			+		+		+		+	+								+				+	+												
20130907CFT030		+								+							+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130917CFT036										+				+					+								+						+				+				+	+		+
20130917CFT039												+		+		+	+	+	+	+							+						+			+	+				+			+
20130924CFT059			+		+					+		+		+		+	+	+	+	+			+				+				+			+							+			+
20130928ZNT036																		+	+							+	+		+		+		+				+				+	+	+	+
20131015ZYLT075			+	+	+				+	+				+		+	+	+	+	+			+				+			+	+	+	+			+								+
20131018ZNT039			+	+	+				+			+		+		+	+		+						+		+				+			+	+									
20131018ZNT053														+		+	+	+	+	+							+						+				+			+	+			+
20131110ZYLT090		+			+				+	+		+		+			+	+	+	+			+				+					+	+				+				+	+		+
20131125ZYLT105										+		+				+	+	+	+	+							+						+				+				+			+
XYYST180		+					+			+		+		+					+								+						+				+					+		+
XYYST176										+		+		+		+	+	+	+	+			+				+		+	+			+				+				+			+
XYYST159			+						+	+				+		+	+	+	+	+							+				+		+				+				+			+
XYYST083										+				+					+								+						+				+	+			+	+		+
XYYST060																+	+	+	+							+	+		+	+	+		+				+				+	+	+	+
XYYST013														+		+	+	+	+	+							+			+			+				+				+	+		+
XYYST004														+		+	+	+	+	+							+			+			+				+				+			+
XYYDT460		+					+			+				+					+								+			+			+				+				+	+		+
XYYDT405			+											+		+	+	+	+	+	+						+			+			+				+				+			+
XYYDT379										+		+		+		+	+	+	+	+							+			+	+		+				+				+	+		+
XYYDT367			+		+							+						+	+	+			+			+	+			+	+	+				+								+
LLLST338										+				+		+	+	+	+							+	+		+		+		+				+				+	+	+	+
LLLST254	+									+				+			+	+	+								+			+	+		+				+			+	+		+	+
LLLST252												+				+	+	+	+	+							+						+				+				+			+
LLLST243										+				+			+	+	+	+							+						+				+	+			+	+		+
20130919LJT008										+	+	+		+		+	+	+	+	+							+						+				+				+	+		+
20130919LJT015							+			+		+		+		+	+	+	+	+							+		+		+		+		+		+				+			+
20130928LJT020		+	+											+				+	+								+			+		+	+											+
20131014PCYT028			+			+			+	+				+		+			+	+							+				+	+								+				
20131014PCYT029			+			+								+		+		+	+								+				+	+								+				
20131014PCYT030						+	+		+	+	+			+		+	+	+	+	+							+		+		+		+				+					+		+
20131025PCYT034					+					+				+		+	+	+	+	+							+						+				+	+			+	+		+
20131107PCYT050		+			+		+					+				+																												
20131110LJT036				+	+					+	+			+			+	+	+	+					+		+		+		+			+	+	+		+		+	+			+
20131111PCYT051					+	+	+			+				+			+	+	+	+							+						+				+				+	+		+
LLLDT359							+			+	+			+			+	+	+	+							+						+				+				+	+		+
LLLDT360	+	+		+	+	+	+		+	+				+			+	+	+				+				+			+	+			+		+	+	+						+
LLLDT362		+								+	+			+		+	+	+	+	+							+						+				+	+			+			+
LLLDT367			+	+					+	+	+	+		+	+	+	+	+		+					+		+				+		+	+		+					+			
LLLDT378		+					+		+	+		+				+	+	+	+	+							+						+				+				+	+		+
LLLST029		+								+				+		+		+	+	+							+						+				+	+			+	+		+
LLLST086										+	+	+		+		+			+								+						+				+				+	+		+
LLLST100										+				+		+				+							+			+			+				+				+	+		+
LLLST142		+	+		+				+	+	+			+		+	+	+	+	+							+						+		+		+	+			+	+		+
LLLST161		+								+				+		+	+	+	+	+							+						+				+				+			+
LLLST163	+						+			+				+			+		+	+						+	+		+	+	+						+	+						+
LLLST173										+	+			+		+	+	+	+	+							+						+				+				+	+		+
LLLST178		+												+				+		+						+	+		+		+		+				+				+	+	+	+
LLLST185		+								+				+			+	+	+	+							+						+				+				+	+		+
LLLST187										+	+			+		+	+	+	+	+							+		+				+				+				+			+
XYYT316					+					+				+				+	+	+							+			+			+				+	+			+	+		+
XYYT322														+		+	+	+	+	+							+						+				+				+	+		+
20121223NXTT138										+				+		+	+	+	+	+						+	+		+		+		+				+				+	+	+	+
20130417LHLT257										+				+				+	+	+							+						+				+	+			+	+		+
20130726ZYLT008										+						+	+		+	+							+			+			+				+				+	+		+
20130825CFT027										+				+			+	+	+	+						+	+		+	+	+		+			+	+				+	+	+	+
20130902ZYLT032	+									+				+		+	+	+	+	+							+						+				+				+	+		+
20130914ZYLT047										+		+		+		+	+	+	+	+							+						+				+				+			+
20130915ZYLT051										+		+		+				+	+	+							+			+			+				+	+			+	+		+
20131005ZYLT070										+				+		+	+	+	+	+							+						+			+	+				+			+
20131011LJT023			+	+	+					+				+		+	+	+	+	+			+				+			+	+	+	+			+						+		
20130320YJPT001														+		+		+	+	+							+						+				+				+			+
20130320YJPT002		+								+				+		+		+	+	+							+						+				+				+			+
20130320YJPT009					+			+		+				+		+		+	+	+							+						+				+				+			+
20130320YJPT027								+						+		+		+	+	+							+						+				+				+			+
20130320YJPT030		+								+				+				+	+							+	+		+		+		+				+				+	+	+	+
20130320YJPT049										+				+													+						+				+				+	+		+
20130324YJPT077										+				+			+	+									+			+			+				+				+	+		+
20130328YJPT102										+				+		+		+	+	+						+	+						+				+				+	+		+
20130328YJPT108														+		+		+	+	+							+					+	+				+				+			+
20130328YJPT122										+				+				+	+								+					+	+				+				+	+		+
20130401YJPT135										+				+		+		+	+	+							+						+				+				+			+
20130401YJPT174										+				+		+		+	+	+							+						+				+				+	+		+
20130401YJPT175												+		+		+		+	+	+							+						+				+				+			+
20130406YJPT181		+			+					+				+				+	+	+						+	+		+		+		+				+				+	+	+	+
20130406YJPT198		+								+									+								+			+			+				+				+	+		+
20130406YJPT204								+		+						+		+	+	+							+			+							+							
20130406YJPT220										+		+		+		+			+								+						+				+				+	+		+
20130412YJPT343	+							+		+				+				+	+								+			+	+		+				+			+	+		+	+
20130412YJPT349		+								+				+		+		+	+							+	+		+	+	+		+				+				+	+	+	+
20130726ZYLT020										+							+	+	+	+							+			+			+				+				+	+		+
20130905ZYLT036		+			+					+	+	+		+				+	+	+			+				+			+	+			+		+								
20130919CXPT004														+		+	+	+	+	+							+		+				+				+				+	+		+
20130919CXPT005		+								+								+	+								+			+			+				+				+	+		+
20130923PCYT005			+				+		+	+		+		+		+			+	+							+				+	+	+				+							+
20130923PCYT008										+							+	+	+	+						+	+		+				+				+	+			+	+		+
20130929PCYT026							+							+			+		+	+		+					+										+	+		+				+
20131002ZYLT062										+				+		+		+	+								+			+			+				+	+			+	+		+
20131003ZYLT067		+								+				+			+		+								+						+				+				+	+		+
20131014CXPT015			+		+				+		+	+			+		+	+				+		+		+	+	+		+	+	+				+				+	+			+
20131018KWLT002			+	+			+			+		+		+		+	+		+		+				+		+			+	+				+	+				+	+			+
20131025PCYT033				+	+		+			+		+		+		+	+		+	+					+		+		+		+		+		+	+	+							+
20131105CXPT022		+								+				+		+		+	+	+							+			+			+				+				+	+		+
20131108CXPT027		+								+				+				+	+		+						+			+			+				+				+	+		+
20131110KWLT008	+						+	+		+							+	+	+								+	+	+	+	+		+											+
20131116KWLT009										+				+			+	+	+		+					+	+	+	+		+		+				+				+	+	+	+
LLLDT368	+									+				+													+						+				+	+			+	+		+
LLLDT375		+								+		+		+																			+				+	+			+	+		+
LLLDT383										+				+		+			+	+							+						+				+				+	+		+
LLLST189									+	+						+		+	+	+							+						+				+				+	+		+
LLLST200		+			+		+		+	+		+		+		+		+	+							+	+		+		+	+	+				+				+	+	+	+
LLLST202			+							+						+	+	+	+	+							+						+				+				+	+		+
LLLST213										+																							+				+				+	+		+
LLLST242							+					+		+		+	+	+	+	+							+						+				+				+	+		+
LLLST304									+	+		+						+									+						+				+	+			+	+		+
XYYT054	+				+		+		+	+				+				+	+								+		+		+		+				+	+				+		+
XYYT130		+							+	+	+			+				+	+	+						+	+		+	+	+		+				+				+	+	+	+
XYYT406		+								+				+		+	+	+	+	+							+	+			+		+	+			+				+			+
20140412ZCT067		+			+					+				+					+	+						+	+	+	+		+		+				+	+			+	+	+	+
20140412ZCT063										+									+	+						+	+	+	+		+						+				+	+	+	
20140402CJT138										+						+										+			+		+		+				+							+
20140331CJT094										+						+					+					+			+	+	+		+				+							+
20140330CJT067		+								+						+		+								+	+		+		+		+				+				+	+	+	+
20140327RJT158										+						+			+		+						+	+			+	+	+				+				+	+	+	+
20140325RSPT058										+		+									+												+				+	+			+	+		+
20140325RSPT045										+																	+					+	+				+	+			+	+		+
20140323LJLT068										+				+															+				+				+				+	+		+
20140323LJLT053			+				+		+	+		+		+			+		+	+							+	+			+	+	+				+							
20140323CJT026										+						+										+			+		+		+				+	+			+	+		+
20140322RJT105										+				+		+										+			+		+		+				+				+	+		+
20140320RJT081										+						+			+							+	+	+	+	+	+		+				+							+
20140311LJLT040										+							+		+								+						+			+	+	+			+	+		+
20140310ZCT049										+											+												+				+				+	+		+
20140310ZCT044										+																	+			+			+			+	+				+	+		+
20140308ZCT040										+				+													+						+			+	+				+	+		+
20140308CSFT025					+										+						+									+						+		+			+			+
20140307ZCT035	+									+				+													+						+				+				+	+		+
20140307ZCT031										+																	+						+				+				+	+		+
20140307ZCT019										+								+	+								+						+				+				+	+		+
20140307RJT004										+						+	+									+	+		+		+		+				+	+			+			+
20140303ZCT013										+							+										+						+				+	+			+	+		+
20140303ZCT009									+	+								+	+								+						+				+				+	+	+	+
20130310HHT021																+										+			+		+		+				+							+
20130411HHT044					+					+																				+			+				+				+	+		+
20130411HHT058			+		+				+	+		+											+							+	+	+				+	+							+
20130918AHT012														+		+	+	+	+	+							+						+			+	+				+	+		+
20131020AHT030										+		+		+					+	+						+	+						+				+				+	+		+
20131027CSFT001					+					+				+			+					+	+				+	+		+			+	+			+	+						+
20131101AHT045										+							+	+	+	+							+						+				+	+			+	+		+ 
20131107AHT050									+	+				+					+	+							+						+				+	+			+	+		+
20131107AHT054					+					+				+		+	+	+	+	+							+						+				+				+	+		+
20131119AHT064										+				+				+	+								+	+					+				+	+			+	+		+
20131119AHT067									+	+				+		+	+	+	+	+							+						+				+				+			+
20131119AHT072					+					+								+	+								+			+			+				+				+	+		+
20131119AHT073										+				+			+	+	+								+	+			+		+				+	+			+	+		+
20131119AHT076										+		+				+		+	+	+							+				+	+	+			+	+				+	+		+
20131129AHT084										+									+								+	+					+				+	+			+	+		+
20131129AHT090										+								+	+	+							+						+				+				+	+		+
20131208AHT092										+				+		+		+	+	+							+						+			+	+				+	+		+
20131208AHT096		+								+							+	+	+	+							+						+			+	+				+	+		+
20140228RSPT002				+						+																				+			+				+				+	+		+
20130726ZYLT005										+									+								+						+				+	+			+	+		+
20130726ZYLT019										+				+					+								+			+			+				+				+	+		+
20130727ZYLT027		+								+				+			+	+	+								+	+					+				+	+			+	+	+	+
20130917CFT032		+								+							+		+								+						+				+				+	+		+
20130923PCYT002										+								+	+	+						+	+	+	+		+		+				+	+			+	+		+
20130923PCYT010					+					+				+	+	+	+	+	+	+				+		+	+		+	+	+		+			+	+	+			+			+
20130928PCYT013		+								+				+		+		+	+	+							+	+					+				+	+			+	+	+	+
20130929CFT120										+		+		+		+	+	+	+	+							+						+				+				+	+		+
20131002ZYLT063										+				+					+							+	+	+					+				+	+			+	+		+
20131015ZYLT078		+								+									+								+	+					+				+	+			+	+		+
20131015ZYLT079		+								+				+					+								+						+				+				+	+		+
20131015ZYLT080										+						+			+								+						+				+				+	+		+
20131015ZYLT081		+								+				+		+			+	+						+	+						+				+				+	+		+
20131015ZYLT082		+			+				+	+				+		+	+	+	+	+							+		+		+		+				+				+	+		+
20140303ZCT002										+									+								+						+				+				+	+		+
20140303ZCT012										+							+		+								+						+				+				+	+		+
20140307ZCT025										+						+			+							+	+	+	+		+		+				+				+			+
20140307ZCT034										+				+		+	+									+	+		+		+		+				+	+						+
20140310ZCT043										+				+		+										+	+	+	+		+		+				+	+			+			+
20140310ZCT045		+								+									+	+							+						+				+				+	+		+
20140412ZCT066										+						+		+	+							+	+	+	+		+		+				+					+		+
20140413ZCT081										+							+		+							+	+	+	+		+		+				+				+	+	+	+
20140414ZCT089										+				+		+		+	+	+						+	+	+	+		+		+				+	+			+			+
20140414ZCT091										+									+							+	+	+	+		+		+				+				+	+	+	+
20140414ZCT097										+								+	+	+						+	+		+	+			+				+				+	+	+	+
LLLDT356										+								+									+						+				+				+	+		+
LLLDT373		+								+				+				+	+								+						+			+	+				+	+		+
20140412ZCT068			+									+				+	+					+	+	+					+			+				+	+	+						
20140327RJT164			+	+		+			+		+	+		+	+						+					+	+	+			+	+												
20140323CJT039		+							+			+					+					+	+	+					+			+			+	+		+						
20140303WWHT031									+			+															+		+			+	+		+	+		+						
20140314RSPT028											+	+		+	+							+			+	+	+		+			+	+					+						
20140327RJT147		+							+			+			+								+						+			+			+	+		+						
20140325RSRT056									+			+			+								+						+			+			+	+		+						
20140414ZCT094									+		+	+			+	+	+						+						+			+				+		+						
20140330CJT070		+							+			+				+	+						+	+					+			+			+	+		+						
20140325RSRT042												+			+	+	+	+				+	+	+	+		+		+		+	+			+	+	+	+						
20140330CJT074			+			+		+			+	+			+		+						+	+			+	+				+	+		+			+						
20140228RSPT004		+							+														+			+			+			+			+	+		+						
20130313RSPT019						+					+																						+					+						
20140302HHT001	+	+							+					+	+			+					+			+	+			+								+						
20140303ZCT008									+		+					+	+						+	+					+			+			+	+	+	+						
20140307ZCT032									+					+		+	+					+	+	+	+		+		+			+			+	+	+	+						
20131129CSFT006		+				+			+		+																		+			+	+		+	+		+						
20140229WWHT028				+											+	+						+	+		+		+		+			+			+	+	+	+						
20140330CJT075		+	+					+	+			+			+	+	+						+	+		+	+	+	+		+	+			+	+		+						
20140314RSPT026			+								+			+	+						+					+	+	+																
20140401RJT221		+							+							+	+					+	+	+	+	+	+		+	+		+			+	+	+	+						
20140306zssT20		+							+						+														+			+			+	+		+						
20140226WWHT013									+			+			+	+	+												+			+			+	+		+						
20140306WWHT040									+			+			+		+	+					+	+		+			+			+			+	+		+						
20140412ZCT061		+															+					+	+	+	+		+		+			+	+		+	+	+	+						
20140226WWHT023						+			+		+			+		+			+			+	+		+		+		+			+						+						
20140226WWHT008								+	+								+						+			+			+		+	+			+	+		+						
20140221WWHT003									+													+	+						+			+			+	+		+						
20140327RJT143									+			+		+								+			+	+	+		+			+	+			+		+						
20140320RJT085									+			+		+		+	+					+	+	+	+		+		+			+			+	+		+						
20140409zssT64									+																	+			+			+			+	+		+						
20140327RJT121			+						+					+								+			+	+	+		+		+	+						+						
20140316RSPT032		+							+			+											+						+			+			+	+		+						
20140329RJT171				+		+			+		+	+								+			+				+		+			+			+									
20140409zssT58		+							+		+	+			+	+							+						+			+	+		+	+		+						
20140401RJT223		+							+			+			+	+	+						+			+			+			+			+	+		+						
20140314RSPT029		+	+						+			+			+		+									+			+			+			+	+		+						
20140305zssT10									+														+			+			+			+			+	+		+						
20140307ZCT018									+					+	+	+	+					+	+	+	+		+		+			+			+		+	+						
20140323CJT030		+							+			+				+	+						+						+			+	+		+	+		+						
20140902YJPt006	+		+	+		+	+	+		+	+	+	+	+	+	+	+	+				+	+		+	+	+	+	+	+	+	+	+		+			+						
20140303WWHT033		+			+				+			+			+														+			+			+	+		+						
20140331CJT084		+	+			+		+	+		+	+			+		+					+	+	+	+	+	+	+	+			+			+	+	+	+						
20140306RSPT013		+							+														+	+					+			+	+		+	+		+						
20140401RJT222										+	+			+								+			+	+	+		+			+			+			+						
20130313RSPT016		+							+					+		+						+	+		+	+	+		+			+			+	+	+	+						
20140308CSFT012		+							+								+						+						+			+			+	+		+						
20140325RSRT047									+			+		+								+	+		+		+		+			+						+						
20140412ZCT077		+							+								+					+	+	+	+		+		+			+			+	+	+	+						
20140226WWHT025											+	+		+								+			+		+		+			+			+		+	+						
20140401RJT218		+							+			+			+	+						+	+				+		+			+			+	+		+						
20140323CJT024												+		+	+	+	+	+				+	+	+	+	+			+			+			+	+	+	+						
20140409zssT81		+							+								+												+			+			+	+		+						
20140306WWHT046								+	+			+		+	+	+	+	+					+	+	+				+			+			+			+						
20140314RSPT023														+								+			+	+	+		+		+	+						+						
20140306WWHT043												+		+	+	+	+	+					+	+					+			+			+			+						
20140306WWHT042									+			+		+	+	+	+	+					+		+				+			+			+			+						
20140303WWHT034												+		+	+	+	+	+					+			+			+			+			+	+	+	+						
20140327RJT129									+			+		+	+							+	+		+		+		+			+				+		+						
20140305RSPT009									+			+					+							+		+	+		+			+			+	+		+						
20140314RSPT027				+					+						+												+		+			+	+		+	+		+						
20140330CJT068	+					+			+			+		+	+							+	+		+		+					+	+	+				+						
20130313RSPT020												+		+	+							+			+		+		+			+						+						
20140315RSPT031		+							+													+	+						+			+			+	+	+	+						
20140325RSRT052									+					+								+		+	+		+		+			+						+						
20140409zssT72		+	+						+						+														+			+	+		+	+		+						
20140226ZCT001		+							+		+	+		+	+	+	+	+					+	+	+				+			+			+			+						
20140226WWHT020														+								+			+		+		+			+	+					+						
20140327RJT131		+		+					+														+						+		+	+			+	+		+						
20140327RJT133									+					+	+							+	+		+		+		+			+				+		+						
20140409zssT37									+		+	+											+		+		+		+			+	+		+	+		+						
20140401RJT225		+	+						+					+		+						+	+		+	+	+		+			+			+	+	+	+						
20140317RSPT035									+			+		+	+	+	+	+				+	+	+	+		+		+			+			+			+						
LLLDT017							+	+	+					+		+	+	+	+	+							+		+		+		+				+				+			+
LLLDT012														+		+	+	+	+	+							+						+				+				+		+	+
LLLST008														+		+	+	+	+	+							+						+				+				+			+
LLLDT021							+							+		+	+	+	+	+							+						+				+				+			+
20131118PCYT057					+					+					+		+		+				+				+			+			+			+	+	+			+	+		+
RJT44		-			-		-		-	+	-	-		+	-	-	-	-	-	-	-		-			-	+	+	-	+	-		+	-		+	+	-		-	+	+	+	+
CJT040		+			-		-		-	-	-	-		+	-	+	-	-	+	+	-		-			+	+	+	+	+	+		+	-		-	+	+		-	+	+	+	+
20140402CJT123		-			-		-		-	-	-	-		-	-	-	+	-	+	-	-		-			+	+	+	+	-	+		+	-		-	+	-		-	+	+	+	+
20141103LTH001		+			+		-		+	-	+	+		-	+	+	+	-	-	-	-		+	+		-	-	-	-	+	+		-	+		+	+	+		+	+	-	-	+
20140307ZCT036		+			-		+		-	-	-	-		-	-	+	+	-	-	-	+		-			-	-	-	-	+	+		-	-		-	-	+		-	-	+	+	-
20140402CJT125		-			-		-		-	-	-	-		+	-	+	-	+	+	-	-		-			+	+	+	+	+	+		+	-		-	+	+		-	-	+	-	+
CJT122		-			-		-		-	+	-	-		-	-	-	-	-	+	+	-		-			+	+	+	+	+	+		+	-		-	+	-		-	+	+	+	+
20140331CJT095		-			-		-		-	-	-	-		-	-	+	-	-	+	-	-		-			+	+	-	+	-	+		+	-		-	+	+		-	-	-	-	+
CJT042		-			-		-		-	-	-	-		+	-	-	-	-	+	-	-		-			+	+	+	+	+	+		+	-		+	+	-		-	+	+	+	+
20140402CJT126		-			-		-		-	-	-	-		-	-	-	-	-	+	-	-		-			+	+	+	+	+	+		+	-		-	+	+		-	+	+	+	+
20140409zssT071		-			-		-		-	+	-	-		+	-	+	+	-	+	-	-		-			-	+	-	-	+	+		+	-		+	+	-		-	+	+	-	+
20140329RJT208		-			+		-		-	+	-	+		+	-	-	-	-	+	-	-		-	+		-	+	-	-	-	-		+	-		+	+	-		-	+	+	-	+
20140329RJT205		-			-		-		-	-	-	-		-	-	-	-	-	+	-	-		-			+	+	+	+	-	+		+	-		-	+	-		-	+	+	+	+
20140414ZCT095		-			-		-		-	-	-	+		-	-	-	+	+	+	-	-		-			+	+	+	+	-	+		+	-		-	+	+		-	+	+	+	+
20140402CJT103		-			-		-		+	-	-	-		+	-	+	-	-	+	-	-		-			+	+	+	+	-	+		+	-		-	+	-		-	-	-	-	+
20140331CJT088		-			+		+		-	-	-	+		+	-	+	-	-	+	-	-		-			+	+	-	+	-	+		+	-		-	+	-		-	-	-	-	+
20140909LTT392	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	+	+	-	-	-			-		-	+	-	-	+	+	+	+	-	-	-	-	-	-	+	-	-	-	-	+
20140723LTT233	-	+	-	-	+	-	-	-	+	-	+	-	-	+	+	+	-	-	-	-			+	+	-	-	+	-	-	+	+	-	-	+	-	+	-	-	+	-	+	-	-	-
20141209CLLT200	-	-	-	-	-	-	-	+	-	-	-	-	-	+	-	-	-	-	-	-			-		-	+	+	-	+	-	+	-	+	-	-	-	+	-	+	-	+	+	+	+
20140828LTT293	-	-	+	-	-	-	-	-	-	-	+	+	-	+	-	+	+	-	+	-			-		+	-	+	-	-	+	+	+	-	-	-	-	+	-	-	-	-	-	-	-
20141126CLLT002	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	+	-			-		-	+	+	-	+	-	+	-	+	-	-	-	+	-	+	-	+	+	+	+
20140720LTT216	-	+	-	-	-	-	-	-	+	-	-	-	-	+	-	-	-	-	-	-			-		-	-	+	-	-	+	+	-	-	+	-	-	-	-	+	-	-	-	-	-
20140723LTT218	-	+	-	-	+	-	+	-	+	-	+	+	-	+	-	+	+	-	-	-			+		-	-	-	-	-	+	+	-	-	+	-	+	-	-	-	-	-	-	-	-
20140916XART046	-	-	+	+	+	-	-	-	+	-	+	+	-	+	-	+	+	-	-	-			-		+	+	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
20140824LTT270	-	-	+	-	-	-	+	-	+	-	+	+	-	-	-	+	+	-	-	-			-		+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
20140710LTT212	-	+	-	-	-	-	-	-	+	-	+	-	-	+	-	+	+	-	-	-			-		-	+	+	-	+	-	+	-	-	+	-	-	-	-	+	-	-	-	-	-
20140920WST013	-	-	+	-	-	-	-	-	+	-	+	+	-	-	-	+	+	-	-	-			-		+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
20140916XART012	-	-	+	-	-	-	+	-	+	-	+	+	-	+	-	+	+	-	-	-			-		+	-	-	-	-	+	+	+	-	-	-	-	-	+	-	-	-	-	-	-
20141126CLLT035	-	+	+	-	-	-	-	-	-	-	+	+	-	+	-	+	+	-	-	-			-		+	-	+	-	-	+	+	+	-	-	-	-	-	-	-	-	-	+	-	+
20140824LTT271	-	-	+	-	-	-	-	-	-	-	+	+	-	-	-	+	+	-	-	-			-		+	-	-	-	+	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
20140708LTT211	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	+	+	-	-	-			-		-	+	+	-	+	-	+	-	+	-	-	-	+	-	+	-	+	-	-	+
20131203LTT036	+	-	-	-	-	-	-	-	-	-	+	-	-	-	-	-	-	-	-	-			-		-	+	-	-	+	+	+	+	-	-	-	-	+	-	+	-	-	-	-	+
20140524LTT192	-	-	+	+	-	-	-	-	+	-	+	+	-	-	-	+	+	-	-	-			-		+	-	-	-	-	-	+	+	-	-	+	-	-	+	-	+	-	-	-	+
20140824LTT263	-	-	+	-	-	+	-	-	-	-	+	+	-	+	-	+	+	-	-	-			-		+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
20141012WST097	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	+	-	+	+			-		-	+	+	+	+	-	+	-	+	-	-	-	+	-	+	-	+	+	+	+
20140824LTT247	-	-	+	-	+	-	-	-	+	-	-	+	-	+	-	+	+	-	-	-			+		-	-	+	-	-	+	+	+	-	-	-	+	-	-	-	-	-	-	-	-
20130412YJPT252	-	-	-	-	-	-	-	-	-	-	-	-	-	+	-	-	-	+	-	-			-		-	+	+	-	+	-	+	-	-	-	-	-	-	+	-	+	-	-	-	+
20140611LTT197	-	-	+	-	+	-	-	-	+	-	-	+	-	-	-	+	+	-	-	-			+		-	-	-	-	-	+	+	+	-	-	-	+	-	-	-	-	-	-	-	-
20140828LTT287	-	+	+	-	-	-	-	-	-	-	+	+	-	+	-	+	+	-	-	-			-		+	-	-	-	-	+	+	+	-	-	-	-	-	-	-	-	-	-	-	-
