-	p1	p10	p11	p12	p13	p14	p15	p16	p17	p19	p20	p21	p23	p24	p25	p29	p3	p30	p31	p32	p33	p35	p36	p37	p38	p39	p40	p41	p42	p44	p5	p7	p8
CJT122		-			-		-		-	-	-		-	-	-	-		-			+	+	+	+	+		-		-	-	-	+	+
CJT042		-			-		-		-	-	-		-	-	-	-		-			+	+	+	+	+		-		+	-	-	+	+
20140402CJT126		-			-		-		-	-	-		-	-	-	-		-			+	+	+	+	+		-		-	+	-	+	+
20140409zssT071		-			-		-		-	-	-		-	+	+	-		-			-	-	-	+	+		-		+	-	-	+	-
20140329RJT208		-			+		-		-	-	+		-	-	-	-		-	+		-	-	-	-	-		-		+	-	-	+	-
20140414ZCT095		-			-		-		-	-	+		-	-	+	-		-			+	+	+	-	+		-		-	+	-	+	+
20140402CJT103		-			-		-		+	-	-		-	+	-	-		-			+	+	+	-	+		-		-	-	-	-	-
20140331CJT088		-			+		+		-	-	+		-	+	-	-		-			+	-	+	-	+		-		-	-	-	-	-
20131113YWYT001	+				+					+				+				+														+	+
20131113YWYT002	+		+		+									+				+														+	+
20131113YWYT003			+		+									+				+	+													+	+
20131113YWYT004					+													+	+			+				+	+		+			+	
20131113YWYT005					+					+					+			+	+														+
20131113YWYT006					+					+				+	+			+	+														+
20131113YWYT007	+				+					+				+				+				+											+
20131113YWYT008	+				+					+	+			+				+				+											+
20131118YWYT009	+									+	+				+			+				+								+			+
20131118YWYT010	+	+								+	+				+			+				+											+
20131118YWYT011	+	+								+	+							+										+					+
20131125YWYT012	+										+			+				+							+							+	+
20131125YWYT013	+										+				+			+							+					+		+	+
20131127ZZDT043																		+		+		+	+									+	+
20131203LYT095									+														+									+	+
20131204YWYT015			+								+				+			+							+					+		+	+
20131204YWYT018			+								+		+		+			+							+					+		+	
20131204YWYT020											+		+		+			+							+					+		+	
20131204YWYT021			+											+			+			+		+				+				+		+	
20131204YWYT022										+	+		+												+					+		+	
20131204YWYT023	+		+					+		+	+		+				+			+					+	+				+	+		
20131204YWYT024	+		+							+			+				+			+		+	+		+					+	+		+
20131204YWYT025										+	+				+			+	+										+	+	+	+	
20131204YWYT026											+				+			+	+						+				+	+	+	+	
20131206LYT098			+						+				+																			+	+
20140520LTT184		+						+	+									+							+	+						+	+
20140520LTT186									+			+						+					+			+						+	+
20140524LTT187																				+		+				+		+				+	+
20140524LTT191																		+			+		+		+	+						+	+
20140524LTT192									+																			+			+	+	+
20140524LTT193									+									+			+				+	+						+	+
20140607LTT194	+				+	+	+		+			+						+			+		+		+		+		+		+		+
20140607LTT195								+	+			+			+		+			+		+			+	+						+	+
20140610LTT196					+													+				+			+								
20140611LTT197		+	+		+				+						+			+							+	+							
20140611LTT198					+										+					+	+	+			+	+							+
20140615LTT199								+			+	+						+		+	+	+			+	+							
20140630LTT200			+						+			+														+	+	+				+	+
20140703LTT201					+				+									+														+	+
20140705LTT202											+	+						+		+	+	+			+	+							
20140705LTT203												+						+			+					+						+	+
20140705LTT204												+						+			+				+	+							
20140705LTT205																				+		+										+	
20140705LTT206			+		+			+										+		+					+	+		+		+		+	+
20140705LTT207		+					+		+																+		+					+	+
20140705LTT208					+				+									+			+				+							+	+
20140705LTT209					+				+									+			+				+		+						
20140705LTT210					+				+									+			+				+		+					+	+
20140708LTT211		+					+	+		+															+							+	+
20140708WJLP011			+																			+			+				+			+	+ 
20140708WJLP013			+																		+	+			+							+	+
20140710LTT212									+						+			+			+				+	+	+					+	+
20140720LTT216																		+					+		+		+					+	+
20140723LTT214				+						+															+			+	+			+	
20140723LTT215									+						+			+			+		+		+		+					+	+
20140723LTT218				+	+				+				+					+	+						+				+				
20140723LTT219					+													+	+				+		+							+	+
20140723LTT220																												+	+				
20140723LTT221					+				+																+				+			+	
20140723LTT222			+	+					+						+			+								+			+		+	+	
20140723LTT223									+								+	+							+				+				
20140723LTT224					+								+					+							+				+			+	
20140723LTT225					+								+					+							+				+				
20140723LTT226					+								+					+							+								
20140723LTT227																						+			+				+			+	
20140723LTT228																		+			+	+	+		+					+			
20140723LTT230					+								+				+	+									+		+			+	
20140723LTT231					+				+																			+	+			+	
20140723LTT232					+				+				+																+			+	
20140723LTT233					+								+																+				
20140723LTT234		+								+			+						+	+												+	
20140723LTT235													+					+							+				+			+	
20140723LTT236													+																+				
20140723LTT245									+				+					+							+								
20140723WKP001			+				+		+													+			+							+	+
20140725LMMT001			        +																	+		+			       +	+		+	+			+	
20140725LMMT002												+						+								+		+	+			+	
20140726WJLT001												+	+								+	+			+ 							+	+ 
20140726WSYT001							+			+																+							
20140726WSYT002	+						+															+	+		+	+						+	+
20140726WSYT003										+												+				+						+	+
20140728LTT217					+								+					+														+	
20140728LTT238	+											+	+		+			+	+				+		+	+	+				+	+	
20140728LTT239																		+							+				+				
20140728LTT241					+								+					+											+				
20140728LTT242					+								+																				
20140728LTT243		+											+						+														
20140728LTT244													+					+											+				
20140728WJLT002										+		 			+							+											+
20140729DYYT002		+																			+	+			+							+	
20140729LMMT003			+									+														+		+					
20140729WJLP002			+																			+										+	+
20140729WJLP003			+																			+				+			+			+	+
20140729WJLT003												+	+		+			+				+					+						+
20140729WSYT004												+									+	+			+	+						+	+
20140729WSYT005							+					+										+			+							+	+
20140730WJLP004			+					+														+										+	+
20140803WJLT007													+					+															+
20140803WJLT009												+	+					+				+											+
20140803WJLT010												 	+					+				+											+
20140803WJLT012												+	+					+															+
20140803WJLT013		+	+						+			 	 	 +				 							+	+							
20140803WJLT019		+	+						+					+											+	+							 
20140803WJLT020												+	+																			+	
20140803WJLT022												+	+					+			 											+	
20140806WJLP006			+															+				+			+	+			+			+	+
20140806WJLP007			+																			+			+	+			+			+	+
20140806WJLP008			+															+				+			+	+			+			+	+ 
20140806WJLP009			+																			+							+			+	+
20140806WJLT024		+									+	+	+							 	+	+			+	+						+	+
20140807WJLP010			+																			+			+	+			+			+	+ 
20140807WJLT033			+		 				+	 								+							+	+			+			+	
20140811WJLT027		+	+		+				+	+		 	+							+					+	+						+	
20140811WJLT028												+										+										+	
20140811WJLT030		+	+		+				+	+		+													+							+	
20140811WJLT031		+	+		 				+			+													+	+						+	
20140811WJLT032			+						+	+															+	+						+	
20140811WJLT034			+																						+							+	
20140811WJLT041		+										+						+			+				+	+						+	+
20140811WJLT042																		+		+	+											+	+
20140811WJLT045												+		+				+							+	+	+						
20140811WKP002			+																	+		+			+				+			+	+
20140811WKP003			+						+											+		+			+				+			+	+
20140811WKP004			+						+											+		+		+	+				+			+	+
20140811WKT010												+						+								+						+	
20140811WKT011												+																				+	
20140811ZHBT001																		+				+	+		+	+					+	+	+
20140811ZHBT003			+																	+					+	+						+	+
20140811ZHBT009										+												+										+	
20140811ZHBT010			+																	+					+	+		+				+	+
20140811ZHBT011											+							+				+	+		+	+						+	+
20140814DDDT198	+											+										+			+								
20140814DDDT199			+																						+	+			+				
20140815DDDT200					+					+								+											+			+	
20140816DYYT006										+				+							+	+			+				+			+	+
20140816DYYT008					+																+	+										+	
20140816DYYT009										+												+			+							+	
20140816DYYT010										+				+							+	+			+							+	
20140816DYYT011										+											+	+							+			+	+
20140816DYYT014										+												+							+			+	+
20140816WKT022											+	+									+				+							+	+
20140817CDWT001		+												+											+							+	+
20140817CDWT005		+																				+										+	+
20140818CDWT010																			+			+										+	+
20140818CDWT011																				+		+											
20140818WKT026		+	+						+											+					+	+							
20140818WKT033			+		+																					+							
20140818WKT037		+	+		+				+									+							+	+			+				
20140818WKT039									+									+															
20140818WKT041					+				+									+								+							
20140818WKT042			+						+			+						+							+	+			+				
20140818WKT047		+	+						+	+	+				+					+		+			+	+							
20140818WKT052												+										+			+							+	+
20140818WKT054											+	+													+							+	+
20140818WKT059			+						+									+							+	+			+				
20140818WKT064									+																	+							
20140818WKT066					+				+									+				+				+			+				
20140818WKT067			+																							+							
20140818WKT069		+	+						+		+				+					+		+			+	+							
20140818WKT072												+						+			+				+	+						+	+
20140818WKT073					+													+								+			+				
20140818WKT074												+									+											+	+
20140818WKT078		+	+		+				+	+									+	+		+			+	+		+			+	+	+
20140818WKT079			+																+						+	+							
20140818WKT080			+																+							+		+					+
20140818WKT081			+																+							+							+
20140818WKT082			+						+	+							+		+	+		+		+	+	+							+
20140818WKT083			+																+						+	+		+					+
20140818WKT086			+						+	+										+		+				+							
20140818WKTO27		+	+																						+	+							
20140819ZHBT013			+																	+		+			+	+		+				+	+
20140819ZHBT015																		+				+	+		+	+						+	+
20140819ZHBT018										+												+				+					+	+	
20140819ZHBT020																						+			+						+	+	+
20140819ZHBT021										+												+							+		+	+	+
20140819ZHBT022										+												+				+			+			+	
20140819ZHBT023											+							+			+	+			+	+					+	+	
20140819ZHBT024											+							+			+	+			+							+	
20140820DYYT019		+										+									+	+			+				+			+	+
20140820DYYT020		+										+									+				+				+			+	+
20140820DYYT023		+	+									+										+			+				+			+	+
20140820DYYT024		+										+										+			+				+			+	
20140820DYYT025		+										+										+			+				+			+	+
20140820DYYT026												+		+								+			+							+	
20140820DYYT027				+								+		+							+				+							+	+
20140820DYYT028			+	+								+		+				+			+	+			+							+	+
20140820DYYT029			+	+										+				+							+							+	
20140820DYYT030			+	+								+		+							+	+			+							+	+
20140820DYYT031				+										+							+				+							+	+
20140820DYYT032				+								+		+				+			+				+							+	+
20140820DYYT035				+								+		+				+			+	+			+							+	
20140820DYYT036				+				+				+		+				+			+	+			+							+	+
20140820DYYT038			+					+																		+							
20140820DYYT039				+										+				+			+	+			+							+	+
20140820DYYT040				+								+		+							+	+			+							+	+
20140820DYYT041			+	+								+						+			+				+	+							
20140820DYYT043			+	+																						+						+	
20140820DYYT045			+	+								+						+			+				+							+	+
20140820DYYT046			+	+								+						+			+	+			+							+	+
20140820DYYT048			+									+						+			+	+			+								+
20140820DYYT050		+		+								+										+			+				+			+	+
20140820DYYT053		+										+		+								+			+							+	+
20140820DYYT055				+														+				+			+							+	
20140820DYYT056				+														+				+										+	
20140820DYYT057				+								+						+			+	+			+							+	+
20140820DYYT058				+														+			+	+			+				+			+	+
20140820DYYT059				+						+		+						+		+	+	+			+							+	+
20140820DYYT060		+		+								+						+				+										+	
20140820DYYT064		+		+								+						+			+	+			+							+	+
20140820DYYT066				+			+																										
20140820DYYT067		+	+	+								+										+										+	
20140820DYYT068				+																													
20140820DYYT069				+										+							+	+			+							+	
20140820DYYT070				+								+																				+	
20140820DYYT071		+		+								+									+	+			+							+	+
20140820DYYT074		+	+									+									+	+			+							+	
20140820DYYT076		+	+									+							+		+	+			+							+	+
20140820DYYT077		+	+																+		+	+			+							+	+
20140820DYYT078			+									+	+	+				+			+							+					
20140821CDWT017																			+						+				+				
20140821CDWT018																			+	+					+								
20140821CDWT021					+					+		+										+			+							+	+
20140821CDWT024		+																	+	+					+								+
20140822DDDT202																							+		+	+					+		
20140822LTT265									+									+	+						+				+				
20140822LTT266		+										+		+				+			+	+			+		+					+	+
20140822WKT090											+											+				+					+		
20140823CDWT025		+																	+						+								
20140823CDWT028		+																	+						+							+	+
20140823CDWT035																			+	+		+											
20140823CDWT036																			+	+													
20140823CDWT043		+																	+	+					+							+	+
20140823CDWT044		+																	+	+					+								
20140824LTT246								+	+			+	+								+				+	+			+				
20140824LTT247			+		+													+							+	+			+				
20140824LTT248					+							+						+											+			+	
20140824LTT249					+			+				+						+			+		+		+	+			+			+	
20140824LTT250											+	+						+			+	+	+		+				+			+	+
20140824LTT251												+						+				+	+						+			+	
20140824LTT252								+			+	+						+			+	+			+	+							
20140824LTT253					+			+				+						+			+				+	+							
20140824LTT255								+				+						+			+				+	+			+				
20140824LTT257								+				+						+			+	+			+	+			+				
20140824LTT258								+				+						+			+	+	+		+	+							
20140824LTT259								+			+	+						+			+		+		+	+							
20140824LTT262								+				+						+			+	+			+	+						+	
20140824LTT263			+																						+	+						+	+
20140824LTT264								+				+						+			+				+	+			+			+	
20140824LTT267	+							+				+						+			+		+		+	+			+			+	
20140824LTT268			+															+					+			+			+			+	+
20140824LTT269	+		+															+					+			+			+				
20140824LTT270			+									+						+							+				+				
20140824LTT271	+		+									+											+		+	+						+	
20140824LTT272								+				+						+			+	+	+		+	+						+	
20140825WKT088			+																							+						+	
20140827WJLT046		+										+								+	+				+							+	
20140827WJLT047		+										+													+							+	+
20140827WJLT050																		+			+				+	+						+	
20140827WJLT055																		+			+					+						+	
20140827WJLT056																		+			+	+			+	+						+	+
20140827WJLT057						+												+			+	+			+	+						+	+
20140827WJLT058										 								+			+				+	+						+	+
20140827WJLT061		 						+		 		+						+			+	+			+	+						+	+
20140827WJLT062		 	+							 	+	+						+			+		+		+	+		 				+	+
20140827WJLT063		 	+			+		+		 	+	+						+			+		+		+	+		 				+	+
20140827WJLT064		 	+									+						+			+	+	+		+	+						+	+
20140827WJLT065					 					 	+							+			+		+			+						+	+
20140827WJLT066		 	+			+		+				+		 				+							+	+		 				+	
20140827WJLT067		 	+									+		 								+	+		+			 				+	+
20140827WJLT068		 	+					+		 		+		 				+			+				+	+		 				+	+
20140827WJLT069		 	+		 			+		 		+		 				+			+	+			+	+		 				+	+
20140827WJLT070		 	+									+		 				+			+				+	+		 				+	+
20140827WJLT073		 	+									+		 								 			+			 				+	+
20140827WJLT077		+																															+
20140827WJLT090											+										+				+							+	+
20140827WJLT094											+							+			+	+										+	+
20140827WJLT098											+										+											+	+
20140827WJLT100		+									+			+				+			+	+			+							+	+
20140827WJLT101														+				+			+	+			+							+	+
20140827WJLT103																		+			+	+			+							+	+
20140827WJLT105											+										+	+			+							+	+
20140827WSYT006							+			+										+		+				+						+	
20140827WSYT008							+					+										+			+	+						+	+
20140827WSYT099																																	+
20140828LTT275								+				+						+			+		+		+	+						+	
20140828LTT276								+				+						+			+		+		+	+							
20140828LTT277												+						+			+		+		+							+	
20140828LTT278			+									+						+				+	+		+	+							
20140828LTT279												+										+	+		+				+			+	
20140828LTT280												+						+			+				+	+						+	
20140828LTT281												+						+			+	+	+		+	+							
20140828LTT282	+											+		+								+			+			+					
20140828LTT283											+	+		+				+		+					+	+		+				+	+
20140828LTT287																									+	+					+		
20140828LTT288								+				+		+				+								+						+	
20140828LTT292		+										+		+				+			+	+			+							+	+
20140828LTT293			+									+													+	+							
20140828LTT294												+		+				+				+			+	+		+				+	+
20140828LTT295												+		+				+		+					+	+		+				+	+
20140828LTT298											+	+						+		+					+	+						+	+
20140828LTT303									+																+				+				
20140828LTT307			+		+				+						+			+	+						+	+	+		+				
20140828LTT309												+			+			+		+					+	+						+	+
20140828LTT310												+						+		+					+	+						+	+
20140828LTT311			+		+				+										+						+				+				
20140828LTT312			+		+				+						+			+	+						+		+		+				
20140828LTT316							+				+	+						+							+	+						+	+
20140828LTT320							+					+						+							+							+	+
20140828LTT321							+					+						+							+	+						+	+
20140828LTT323			+		+		+								+			+	+						+	+	+		+				
20140828LTT325							+				+	+		+				+							+	+						+	+
20140828LTT327							+					+		+				+							+	+						+	+
20140901WKT095			+																						+							+	+
20140901WKT097										+	+				+					+		+		+		+				+			
20140901WKT098								+	+		+				+			+			+	+				+					+	+	+
20140901WKT099								+							+			+			+	+	+		+					+			
20140901WKT100								+			+				+			+			+	+			+	+					+	+	+
20140901WKT101											+							+			+	+			+							+	+
20140901WKT104												+						+			+	+			+	+						+	+
20140901WKT106											+	+			+			+			+	+			+	+						+	+
20140901WKT108															+			+			+	+										+	+
20140901WKT109												+			+			+			+	+			+							+	+
20140901WKT110			+												+										+	+						+	
20140901WKT112			+																			+				+						+	
20140901WKT113											+				+			+			+	+			+							+	+
20140901WKT114			+												+							+				+						+	
20140901WKT115			+												+										+	+							
20140901WKT116											+	+			+							+			+						+	+	+
20140901WKT119												+			+							+			+								
20140901WKT120			+												+				+							+							
20140901WKT121			+								+				+				+			+		+		+					+	+	+
20140901WKT122			+								+				+							+				+		+			+	+	
20140901WKT123			+								+				+							+		+		+		+			+	+	
20140901WKT124			+								+				+							+		+		+					+		
20140901WKT126			+								+				+							+				+							
20140901WKT128											+				+							+			+						+	+	+
20140901WKT129											+											+			+						+	+	+
20140901WKT130			+								+				+				+			+		+		+					+	+	
20140901WKT131			+								+				+				+	+		+		+		+					+	+	
20140901WKT133			+																+							+		+					
20140901WKT134			+								+											+			+	+						+	+
20140901WKT135			+																			+			+	+						+	+
20140901WKT136			+																+							+						+	
20140901WKT138											+				+							+			+							+	+
20140901WKT139											+				+			+				+			+						+	+	+
20140901WKT141			+								+				+				+			+		+							+		
20140901WKT143											+				+			+			+	+				+	+				+	+	+
20140901WKT144											+				+			+			+	+				+					+	+	+
20140901WKT148			+								+				+							+									+		
20140901WKT149											+							+			+	+			+	+					+	+	+
20140901WKT150			+												+							+											
20140901WKT151											+				+			+			+				+	+					+	+	
20140901WKT152																		+			+	+			+						+	+	
20140901WKT153			+								+				+							+									+	+	
20140903WJLT120																						+							+			+	+
20140903WJLT123																													+			+	+
20140903WJLT126														+				+			+				+	+			+			+	+
20140903WJLT127														+											+				+			+	+
20140903WJLT129		 										+			 			+			+	+	+		+				+	 		+	+
20140903WJLT130		 			 					+		+			 			+			+	+	+		+				+	 		+	+
20140903WJLT136		 			 					+	+	+						+			+	+	+		+				+	 		+	+
20140903WJLT138		 			 					+		+						+		+	+	+	+		+				+			+	+
20140903WJLT139		 			 					+	+	+						+		+	+	+	+		+	+			+			+	+
20140903WJLT140		 			 			+		+		+			 			+		+	+	+	+		+				+	 		+	+
20140903WJLT141					 		+	+		+		+			 			+			+	+	+		+				+	 		+	+
20140903WJLT142		 			 		+	+		+		+			 			+		+	+	+	+		+				+			+	+
20140903WJLT144		 						+		+		+			 			+			+	+	+		+				+			+	+
20140903WJLT146	+						+	+				+						+				+			+							+	+
20140903WJLT147	+							+				+						+				+			+ 							+	+
20140903WJLT148								+				+						+			+				+							+	
20140903WJLT150												+						+			+	+			+			 				+	
20140903WJLT152		 										+		 							+	+			+			 				+	
20140903WJLT153								+				+		 				+	 	+	+	+			+ 			 				+	
20140903WJLT157								+				+						+			+	+			+			 				+	
20140903WJLT159	+						+	+				+						+				+										+	+
20140903WJLT163	+						+			+	+	+						+				+										+	+
20140903WJLT164	+											+										+										+	+
20140903WJLT167	+						+					+						+				+										+	+
20140903WJLT169	+											+						+														+	+
20140903WJLT170	+											+						+				+										+	+
20140903WJLT171	+										+	+						+														+	+
20140903WJLT173	+																	+				+										+	+
20140903WJLT177								+			+	+						+			+	+			+							+	+
20140905DYYT081		+												+							+	+			+							+	
20140905DYYT084		+																							+							+	+
20140905DYYT086										+			+	+							+	+			+	+						+	+
20140905DYYT090			+										+					+			+	+										+	
20140905DYYT093										+											+	+			+							+	+
20140905DYYT097				+																		+			+							+	
20140905DYYT098				+																	+	+			+							+	
20140905DYYT099										+											+	+			+							+	
20140905DYYT101			+	+										+								+			+	+		+					
20140905DYYT102				+									+					+			+	+			+							+	+
20140905DYYT103			+	+										+				+			+					+		+					
20140905DYYT104			+	+										+				+				+				+		+					
20140905DYYT105				+			+			+			+					+			+	+			+							+	+
20140905DYYT106				+						+			+					+			+	+			+							+	
20140905DYYT107				+														+			+	+			+							+	
20140905DYYT108				+						+								+							+							+	+
20140905DYYT109			+	+																	+				+	+						+	+
20140905DYYT110				+						+								+			+	+			+	+						+	+
20140905DYYT111				+						+								+				+										+	+
20140905DYYT113				+						+								+				+			+							+	+
20140905DYYT115				+						+												+			+							+	+
20140905DYYT116				+																		+										+	+
20140905DYYT118				+						+												+										+	+
20140906DDDT005												+						+				+			+	+							
20140906DDDT006												+						+				+			+								
20140906DDDT010			+																+	+				+	+	+		+					
20140906DDDT012		+										+		+				+				+	+		+				+			+	+
20140906DDDT013		+							+			+		+				+				+	+		+							+	+
20140906DDDT014		+										+		+				+				+	+		+	+						+	+
20140906DDDT015														+				+				+	+		+							+	+
20140906DDDT017																		+				+	+		+				+			+	+
20140906DDDT018												+		+				+				+	+		+							+	+
20140906DDDT019												+		+				+				+	+		+				+			+	+
20140906DDDT021		+										+		+				+				+			+							+	
20140906DDDT022							+					+						+				+			+								
20140906DDDT033				+														+							+	+						+	+
20140906DDDT034				+														+				+			+	+						+	+
20140906DDDT043																		+		+		+			+	+						+	+
20140906DDDT046					+													+				+			+	+						+	+
20140906LTT332							+											+							+							+	+
20140906LTT335							+					+		+				+	+						+	+						+	+
20140906LTT337							+					+													+							+	+
20140906LTT338												+						+		+		+			+	+						+	+
20140906LTT343											+	+						+				+			+							+	+
20140906LTT344			+									+		+						+		+			+	+						+	+
20140906LTT345			+									+		+				+		+		+			+	+						+	+
20140906LTT346			+									+		+				+		+		+			+	+			+				
20140906LTT358			+									+		+				+							+	+						+	+
20140906LTT363			+							+		+		+											+							+	+
20140906LTT364			+				+					+		+				+							+	+						+	+
20140906LTT373							+					+													+	+						+	+
20140906LTT374			+				+					+		+											+							+	+
20140906LTT375			+				+				+	+		+											+							+	+
20140906LTT378			+									+		+				+				+			+	+						+	+
20140906LTT382			+									+		+				+			+				+	+						+	+
20140906WJLT183								+ 				+						+			+	+	+		+							+	+
20140906WJLT184								+				+						+			+		+		+							+	+
20140906WJLT185								+			+	+						+			+		+		+							+	+
20140906WJLT188		+						+			+	+						+			+		+		+								+
20140906WJLT192												+						+			+				+							+	+
20140906WJLT193																		+			+											+	+
20140906WJLT200												+									+				+							+	+
20140906WJLT201										+		+										+			+							+	+
20140906WJLT202										+		+									+	+			+							+	+
20140906WJLT207										+	+	+									+	+			+							+	+
20140906WSYT013							+															+										+	+
20140906WSYT016					+													+				+											
20140906WSYT018										+										+		+			+	+		+				+	+
20140906WSYT020										+																+							
20140906WSYT022										+																+						+	
20140906WSYT028			+							+										+						+						+	
20140906WSYT035			+							+										+		+				+						+	+
20140906WSYT036			+																			+				+						+	+
20140906WSYT041																				+						+						+	
20140906WSYT045																						+				+		+				+	+
20140906WSYT046										+										+												+	+
20140906WSYT051			+							+				+						+		+			+			+				+	+
20140906WSYT052										+										+		+						+				+	
20140906WSYT058											+											+										+	+
20140906WSYT059										+	+											+						+			+	+	
20140906WSYT061										+												+						+				+	
20140906WSYT063							+			+	+											+											
20140906WSYT064									+	+												+						+				+	
20140906WSYT065																				+		+						+				+	
20140906WSYT066											+											+			+							+	
20140906WSYT067											+											+			+							+	+
20140906WSYT068																									+			+				+	+
20140907CDWT051		+																	+	+		+			+								
20140907CDWT052																			+	+		+			+								+
20140907CDWT068																			+	+		+							+				
20140907CDWT069																									+		+		+				
20140907CDWT091																			+			+				+							
20140907CDWT092		+										+							+			+			+	+							
20140907CDWT098		+	+																							+							
20140907CDWT099		+																+			+											+	+
20140907CDWT107		+																+				+			+							+	+
20140907CDWT108		+																			+				+							+	+
20140907CDWT111		+																+			+				+							+	+
20140907CDWT113																		+			+	+										+	+
20140907CDWT115																					+	+										+	+
20140907LMMT004					+		+			+								+		+		+			+	+		+			+		
20140907LMMT005			+		+		+											+	+						+	+			+				
20140908DDDT057					+					+												+			+							+	+
20140908DDDT073												+						+	+			+	+		+							+	+
20140908DDDT075										+								+				+	+		+	+						+	+
20140908DDDT077												+						+				+	+		+							+	+
20140908DDDT078		+										+										+	+		+							+	+
20140908DDDT079		+						+				+						+			+	+	+		+							+	+
20140908DDDT081		+																				+	+		+							+	+
20140908DDDT082		+			+							+						+		+		+	+		+	+						+	+
20140909LTT385			+		+				+		+							+	+							+			+		+		
20140909LTT389												+			+			+				+										+	
20140909LTT390			+									+		+				+							+							+	+
20140909LTT392	+																+	+				+		+	+							+	
20140909WJLT244												+	+								+	 			+							+	+
20140909WJLT245								+				+	+								+	+			+							+	+
20140909WJLT246								+				+	+								+	 			+							+	+
20140909WJLT252																					+											+	+
20140909WJLT260												+									+	+			+ 							+	+
20140911WKT155															+			+			+	+			+	+						+	+
20140911WKT156			+								+				+										+								
20140911WKT157											+				+			+			+	+			+	+					+	+	+
20140911WKT159			+												+							+									+		
20140911WKT160															+			+			+	+			+	+					+	+	+
20140911WKT161			+																			+											
20140911WKT168																						+			+							+	
20140911WKT169		+																				+			+		+						
20140911WKT187																		+			+	+	+		+	+						+	+
20140911WKT189		+																+			+	+			+	+						+	+
20140911WKT190		+																+			+	+	+		+	+						+	+
20140911WKT193		+																+			+	+	+		+	+			+			+	+
20140911WKT194																						+	+						+			+	+
20140911WKT197										+												+	+						+			+	+
20140912CDWT120		+																+			+	+										+	+
20140912CDWT127		+																+			+	+			+							+	+
20140912CDWT129		+																				+			+							+	+
20140912CDWT139		+												+				+			+	+										+	+
20140912CDWT140		+												+							+	+										+	+
20140912CDWT142		+												+							+											+	+
20140913WJLT233		+										+									+	+			+							+	+
20140913WJLT237		+										+						+			+				+							+	+
20140913WJLT238		+										+										+			+							+	+
20140913WJLT243													+								+	+										+	+
20140915CDWT148		+												+								+										+	+
20140915CDWT152		+										+		+																		+	+
20140915CDWT153		+																														+	+
20140915CDWT155		+												+																		+	+
20140915DHWT001											+	+						+				+			+	+						+	+
20140915DHWT002																		+							+	+						+	+
20140915DHWT004		+										+										+			+	+						+	+
20140915DHWT005		+										+						+							+	+						+	+
20140915DHWT013										+		+						+				+			+	+						+	+
20140915DHWT017												+						+							+							+	+
20140916DHWT022												+						+				+			+			+				+	+
20140916DHWT027												+						+				+			+	+						+	+
20140916DHWT040												+						+				+	+		+	+		+				+	+
20140916DHWT041												+						+					+		+	+		+				+	+
20140916DHWT042		+										+						+				+	+		+	+		+				+	+
20140916DHWT044		+										+						+					+		+	+		+				+	+
20140916DHWT045												+		+								+	+		+			+				+	+
20140916DHWT046												+										+	+		+	+						+	+
20140916DYYT122									+													+				+						+	
20140916DYYT123			+						+													+				+			+			+	
20140916DYYT124			+																	+		+				+			+			+	
20140916DYYT125			+					+	+				+					+				+				+			+			+	
20140916DYYT126				+																+		+				+			+			+	
20140916DYYT127				+																+		+				+						+	
20140916DYYT128			+	+					+													+				+			+			+	
20140916DYYT130				+																		+				+						+	+
20140916DYYT132			+	+																		+				+						+	
20140916DYYT135				+	+									+								+			+							+	+
20140916DYYT136					+			+														+										+	+
20140916DYYT137					+									+								+			+							+	+
20140916DYYT138					+																	+			+							+	+
20140916DYYT146		+								+												+			+							+	+
20140916DYYT147		+			+					+								+			+	+			+							+	+
20140916XART012			+																	+		+			+								
20140916XART018																						+			+							+	+
20140916XART034												+										+										+	+
20140916XART046			+																							+						+	+
20140916XART058											+	+										+			+					+		+	+
20140916XART063											+											+			+					+		+	+
20140916XART067																						+			+					+		+	+
20140917DDDT092									+										+														
20140917DDDT094																	+															+	+
20140917DDDT097		+						+				+	+					+			+					+							
20140917DDDT099								+					+					+		+	+				+	+							
20140917DDDT101						+						+										+			+							+	+
20140917DDDT102						+						+													+				+			+	+
20140917WJLT276			+		+				+									+								+		+	+				
20140917WJLT279																					+				+							+	+
20140917WKT202		+									+							+			+	+	+		+	+	+		+		+	+	+
20140917WKT204																		+			+	+	+			+			+			+	+
20140917WKT206		+																				+	+		+				+			+	+
20140917WKT209		+																+			+	+			+				+			+	+
20140917WKT211																		+			+	+							+			+	
20140917WSYT071												+							+			+			+							+	+
20140917WSYT073											+											+			+								+
20140917WSYT075											+	+	+									+			+						+		+
20140917WSYT076											+	+	+							+		+			+								+
20140917WSYT077											+	+	+									+			+								+
20140917WSYT078													+				 			+		+											+
20140917WSYT080												+	+									+			+	+							+
20140917WSYT083												+													+								+
20140917WSYT090		+										+		+											+								+
20140917WSYT091																						+				+							+
20140917WSYT094												+								+		+			+	+							+
20140917WSYT095																				+		+			+								+
20140917WSYT098												+								+		+			+								+
20140918CDWT167		+										+								+		+										+	+
20140918CDWT175		+										+								+					+							+	+
20140918CDWT181		+										+																				+	+
20140918CDWT183		+										+										+										+	+
20140918CDWT187																				+		+			+							+	+
20140918CDWT195																				+		+										+	+
20140918DHWT058												+						+				+			+	+		+				+	+
20140918DHWT059			+									+													+			+				+	+
